Subject,Level,TrialNo,Pred,Early.Late,Right.Wrong,Length,SoundFile,QuLength,CharacterLength,QuOnset,QuOffset,Response Onset,RT.s,QuLength.ms,CharacterLength.ms,QuOnset.ms,QuOffset.ms,ResponseOnset.ms,RT.ms,Response,Accuracy,Comments
1,Cave,21,Pred,late,right,Long,lighteningmcqueen late t,2.91342051,1.016112395,3.69621851,6.609639019,9.16655643,2.556917411,2913.42051,1016.112395,3696.21851,6609.639019,9166.55643,2556.917411,y,1,yeeee eh yes
1,Cave,22,Pred,late,right,Long,princesssofia late t,2.763047528,1.043842629,3.690483208,6.453530736,8.676253029,2.222722294,2763.047528,1043.842629,3690.483208,6453.530736,8676.253029,2222.722294,y,1,
1,Cave,23,Pred,early,wrong,Short,tigger early t,2.134654132,0.678385558,3.744159128,5.878813259,6.26178364,0.38297038,2134.654132,678.3855584,3744.159128,5878.813259,6261.78364,382.9703801,n,1,ehhh no
1,Cave,24,Pred,late,wrong,Short,gaston late_t,2.486436896,0.662526309,3.74052762,6.226964516,6.922744457,0.695779941,2486.436896,662.526309,3740.52762,6226.964516,6922.744457,695.7799409,n,1,
1,Jungle,1,Pred,early,wrong,Long,thegruffalo early_t,2.43329072,0.635007273,3.728255701,6.161546421,6.723028058,0.561481637,2433.29072,635.0072726,3728.255701,6161.546421,6723.028058,561.4816366,n,1,
1,Jungle,2,Pred,early,right,Long,thewiseoldelf early_t,3.089673097,0.654004236,3.78763619,6.877309287,7.146905809,0.269596521,3089.673097,654.0042357,3787.63619,6877.309287,7146.905809,269.5965214,y,1,
1,Jungle,3,Pred,late,wrong,Long,thewiseoldelf late t,3.093637548,1.155799279,3.787489148,6.881126696,7.052636175,0.17150948,3093.637548,1155.799279,3787.489148,6881.126696,7052.636175,171.5094796,n,1,
1,Jungle,4,Pred,late,right,Long,docmcstuffins late_t,3.059048389,1.212561494,3.681833806,6.740882195,6.698275074,-0.042607121,3059.048389,1212.561494,3681.833806,6740.882195,6698.275074,-42.60712093,y,1,
1,Jungle,7,Pred,late,wrong,Long,cinderella late t,2.519177849,0.784150031,3.656914342,6.176092191,6.815353175,0.639260984,2519.177849,784.1500314,3656.914342,6176.092191,6815.353175,639.2609836,n,1,
1,Jungle,8,Pred,late,right,Long,tinkywinky late t,2.499781606,0.761860899,3.388364939,5.888146545,6.770940061,0.882793516,2499.781606,761.8608987,3388.364939,5888.146545,6770.940061,882.7935155,y,1,
1,Jungle,9,Pred,late,wrong,Long,princessholly late_t,2.519361526,0.845899619,3.661768781,6.181130307,6.44439936,0.263269053,2519.361526,845.8996192,3661.768781,6181.130307,6444.39936,263.2690531,n,1,
1,Jungle,10,Pred,early,right,Short,swiper early_t,2.68516435,0.704286749,3.732510717,6.417675067,7.019019057,0.60134399,2685.16435,704.2867494,3732.510717,6417.675067,7019.019057,601.3439898,y,1,Note - parent laughs at beginning of question 
1,Jungle,11,Pred,late,right,Long,thegruffalo late t,2.497631971,0.628409837,3.681532306,6.179164276,6.986777675,0.807613399,2497.631971,628.4098365,3681.532306,6179.164276,6986.777675,807.6133989,y,1,
1,Jungle,12,Pred,late,right,Short,anna late_t,2.303887557,0.551048273,3.676398933,5.980286491,7.141356697,1.161070206,2303.887557,551.0482726,3676.398933,5980.286491,7141.356697,1161.070206,y,1,disfluent response - eh yes
1,Jungle,13,Pred,early,wrong,Long,docmcstuffins early t,2.891877772,0.630524301,3.704743873,6.596621645,7.304140397,0.707518751,2891.877772,630.5243014,3704.743873,6596.621645,7304.140397,707.5187514,n,1,disfluent response - eh eh no
1,Jungle,16,Pred,late,right,Short,snowwhite late t,2.564615094,0.860361806,3.680329733,6.244944827,6.499019809,0.254074982,2564.615094,860.3618061,3680.329733,6244.944827,6499.019809,254.0749819,y,1,
1,Jungle,17,Pred,late,wrong,Short,swiper late t,2.423955387,0.675372202,3.715714543,6.13966993,6.938036889,0.798366959,2423.955387,675.372202,3715.714543,6139.66993,6938.036889,798.3669589,n,1,
1,Jungle,19,Pred,early,right,Long,princessholly early t,2.640921003,0.625918183,3.676666996,6.317587999,6.723219845,0.405631846,2640.921003,625.9181826,3676.666996,6317.587999,6723.219845,405.6318458,y,1,
1,Jungle,20,Pred,early,wrong,Short,anna early t,2.429431423,0.704048327,3.898550969,6.327982392,6.090799794,-0.237182598,2429.431423,704.0483268,3898.550969,6327.982392,6090.799794,-237.1825979,n ,0,"NOTE - overlap - Boundary 3 = response, Boundary 4= end of question"
1,Jungle,21,Pred,late,wrong,Short,laalaa late_t,2.61448837,0.700475967,3.674044038,6.288532407,6.970393636,0.681861228,2614.48837,700.4759671,3674.044038,6288.532407,6970.393636,681.8612282,n,1,
1,Jungle,22,Pred,early,right,Short,woody early t,2.328932623,0.670020679,3.657118627,5.98605125,5.975347965,-0.010703285,2328.932623,670.0206786,3657.118627,5986.05125,5975.347965,-10.70328499,y,1,
1,Jungle,23,Pred,early,right,Short,laalaa early t,2.662067496,0.637114286,3.706730208,6.368797704,6.832329392,0.463531688,2662.067496,637.1142864,3706.730208,6368.797704,6832.329392,463.5316879,y,1,
1,Jungle,24,Pred,early,wrong,Short,noddy early t,2.363323424,0.686884137,3.706443984,6.069767408,6.237830057,0.168062648,2363.323424,686.8841374,3706.443984,6069.767408,6237.830057,168.0626484,n,1,
2,Beach,1,Unpred,early,right,Short,chase_early_p,2.341856148,0.86778333,3.904749699,6.246605847,6.944910777,0.69830493,2341.856148,867.78333,3904.749699,6246.605847,6944.910777,698.3049298,n,0,"note - when asked who's hiding the tiger, responds with correct character name"
2,Beach,2,Unpred,early,right,Long,daddypig_early_p,2.691773095,0.782398489,3.709952831,6.401725926,6.500249581,0.098523656,2691.773095,782.3984886,3709.952831,6401.725926,6500.249581,98.52365558,n,0,
2,Beach,3,Unpred,late,wrong,Long,mummypig_late_t,2.700804835,0.764833531,3.775381941,6.476186776,9.253855112,2.777668336,2700.804835,764.8335309,3775.381941,6476.186776,9253.855112,2777.668336,n,1,
2,Beach,4,Unpred,late,right,Long,mickeymouse_late_t,2.707895166,0.939343407,3.766468929,6.474364096,6.638505313,0.164141217,2707.895166,939.3434073,3766.468929,6474.364096,6638.505313,164.1412172,y,1,
2,Beach,5,Unpred,late,wrong,Long,daddypig_late_t,2.642951696,0.676462608,3.78174339,6.424695086,8.690993553,2.266298467,2642.951696,676.4626076,3781.74339,6424.695086,8690.993553,2266.298467,y,0,disfluent response - mm yes
2,Beach,6,Unpred,early,right,Short,belle_early_t,2.389039529,0.772137704,4.097107546,6.486147075,6.969163362,0.483016287,2389.039529,772.1377038,4097.107546,6486.147075,6969.163362,483.016287,y,1,
2,Beach,7,Unpred,early,wrong,Long,mickeymouse_early_p,2.896867196,0.737809103,3.791385002,6.688252198,9.592973303,2.904721105,2896.867196,737.8091034,3791.385002,6688.252198,9592.973303,2904.721105,y,0,"note - when asked who's hiding the tiger, responds with correct character name"
2,Beach,8,Unpred,late,wrong,Long,scoobydoo_late_p,2.886616645,0.820002471,3.789030692,6.675647337,10.09783349,3.422186151,2886.616645,820.0024706,3789.030692,6675.647337,10097.83349,3422.186151,y,0,"note - when asked who's hiding the tiger, responds with correct character name"
2,Beach,9,Unpred,early,wrong,Long,curiousgeorge_early_t,3.359510559,0.709678714,3.854029902,7.213540461,7.902483882,0.688943421,3359.510559,709.6787139,3854.029902,7213.540461,7902.483882,688.9434214,y,0,"note - when asked who's hiding the tiger, responds with correct character name"
2,Beach,10,Unpred,early,right,Long,scoobydoo_early_t,2.759690809,0.708408199,3.673233421,6.43292423,6.665593533,0.232669303,2759.690809,708.4081986,3673.233421,6432.92423,6665.593533,232.669303,y,1,
2,Beach,12,Unpred,late,wrong,Short,chase_late_t,2.493944149,0.723666748,3.84721621,6.341160359,9.029281336,2.688120977,2493.944149,723.6667477,3847.21621,6341.160359,9029.281336,2688.120977,y,0,disfluent response - yes no - he's hiding the parrot
