Subject,Level,TrialNo,Pred,Early.Late,Right.Wrong,Length,SoundFile,QuLength,CharacterLength,QuOnset,QuOffset,Response Onset,RT.s,QuLength.ms,CharacterLength.ms,QuOnset.ms,QuOffset.ms,ResponseOnset.ms,RT.ms,Response,Accuracy,Comments
4,Cave,13,Unpred,late,wrong,Long,thefatcontroller late p,2.804979782,0.985423368,3.687633069,6.492612851,8.300416207,1.807803355,2804.979782,985.4233675,3687.633069,6492.612851,8300.416207,1807.803355,n,1,NA
4,Cave,14,Unpred,early,wrong,Long,spongebobsquarepants early t,3.382132711,0.626731413,3.706979185,7.089111896,8.671235126,1.582123229,3382.132711,626.7314134,3706.979185,7089.111896,8671.235126,1582.123229,n,1,NA
4,Cave,15,Unpred,late,wrong,Long,captainbarnacles late t,3.09095059,1.239002251,3.760888533,6.851839123,9.211126019,2.359286896,3090.95059,1239.002251,3760.888533,6851.839123,9211.126019,2359.286896,n,1,NA
4,Cave,16,Unpred,early,right,Long,rebeccarabbit early p,2.917685509,0.773307243,3.700106219,6.617791728,7.13193351,0.514141782,2917.685509,773.3072434,3700.106219,6617.791728,7131.93351,514.1417816,y,1,NA
4,Cave,17,Unpred,early,wrong,Short,elsa early t,2.417232873,0.622310469,3.749823951,6.167056824,6.733605924,0.5665491,2417.232873,622.3104688,3749.823951,6167.056824,6733.605924,566.5490995,n,1,NA
4,Cave,18,Unpred,late,right,Long,spongebobsquarepants late p ,3.4509754,1.637779008,3.717432138,7.168407537,8.001790513,0.833382976,3450.9754,1637.779008,3717.432138,7168.407537,8001.790513,833.3829761,y,1,NA
4,Cave,19,Unpred,late,right,Short,tigger late p,2.113824459,0.3595773,3.727495583,5.841320042,8.088147318,2.246827276,2113.824459,359.5773,3727.495583,5841.320042,8088.147318,2246.827276,y,1,NA
4,Cave,20,Unpred,late,wrong,Short,dora late p,2.162238987,0.458346425,3.731012797,5.893251784,7.573069147,1.679817362,2162.238987,458.3464253,3731.012797,5893.251784,7573.069147,1679.817362,n,1,NA
4,Cave,21,Unpred,late,right,Long,lighteningmcqueen late t,2.91342051,1.016112395,3.824597051,6.738017561,9.034647068,2.296629507,2913.42051,1016.112395,3824.597051,6738.017561,9034.647068,2296.629507,y,1,NA
4,Cave,22,Unpred,late,right,Long,princesssofia late t,2.763047528,1.043842629,3.673680696,6.436728224,8.435732573,1.99900435,2763.047528,1043.842629,3673.680696,6436.728224,8435.732573,1999.00435,y,1,NA
4,Cave,23,Unpred,early,wrong,Short,tigger early t,2.134654132,0.678385558,3.723271712,5.857925844,6.57393904,0.716013196,2134.654132,678.3855584,3723.271712,5857.925844,6573.93904,716.0131962,n,1,NA
4,Cave,24,Unpred,late,wrong,Short,gaston late p,2.51382113,0.636882463,3.670887087,6.184708217,7.162707141,0.977998924,2513.82113,636.8824634,3670.887087,6184.708217,7162.707141,977.9989241,n,1,NA
4,Jungle,1,Unpred,early,wrong,Long,thegruffalo early p,2.500834713,0.7442039,3.694086106,6.194920819,7.000313471,0.805392651,2500.834713,744.2038999,3694.086106,6194.920819,7000.313471,805.3926514,n,1,NA
4,Jungle,2,Unpred,early,right,Long,thewiseoldelf early p,3.370351281,0.759668276,3.786241647,7.156592928,8.380497817,1.223904889,3370.351281,759.6682758,3786.241647,7156.592928,8380.497817,1223.904889,y,1,NA
4,Jungle,3,Unpred,late,wrong,Long,thewiseoldelf late t,3.093637548,1.155799279,3.801527865,6.895165413,7.59916619,0.704000777,3093.637548,1155.799279,3801.527865,6895.165413,7599.16619,704.0007771,n,1,NA
4,Jungle,4,Unpred,late,right,Long,docmcstuffins late p,3.020380602,1.171933534,3.731828368,6.75220897,7.759908583,1.007699613,3020.380602,1171.933534,3731.828368,6752.20897,7759.908583,1007.699613,y,1,NA
4,Jungle,5,Unpred,early,wrong,Short,snowwhite early p,2.811367056,0.846120033,3.701033836,6.512400891,8.162799989,1.650399097,2811.367056,846.1200328,3701.033836,6512.400891,8162.799989,1650.399097,n,1,NA
4,Jungle,6,Unpred,late,right,Short,noddy late p,2.447937989,0.558594577,3.671201586,6.119139575,6.783114742,0.663975167,2447.937989,558.5945767,3671.201586,6119.139575,6783.114742,663.9751672,y,1,NA
4,Jungle,7,Unpred,late,wrong,Long,cinderella late t,2.519177849,0.784150031,3.705372681,6.22455053,7.488513533,1.263963002,2519.177849,784.1500314,3705.372681,6224.55053,7488.513533,1263.963002,n,1,NA
4,Jungle,8,Unpred,late,right,Long,tinkywinky late t,2.499781606,0.761860899,3.787864327,6.287645934,7.205394434,0.9177485,2499.781606,761.8608987,3787.864327,6287.645934,7205.394434,917.7485004,y,1,NA
4,Jungle,9,Unpred,late,wrong,Long,princessholly late p,2.622253037,0.839874884,3.685401796,6.307654833,8.496952413,2.189297581,2622.253037,839.8748844,3685.401796,6307.654833,8496.952413,2189.297581,n,1,NA
4,Jungle,10,Unpred,early,right,Short,swiper early p,2.76453971,0.815309759,3.705312388,6.469852098,7.578828427,1.108976329,2764.53971,815.3097585,3705.312388,6469.852098,7578.828427,1108.976329,y,1,NA
4,Jungle,11,Unpred,late,right,Long,thegruffalo late t,2.497631971,0.628409837,3.655497177,6.153129148,6.705558025,0.552428877,2497.631971,628.4098365,3655.497177,6153.129148,6705.558025,552.4288773,y,1,NA
4,Jungle,12,Unpred,late,right,Short,anna late p,2.447295407,0.638739622,3.700311614,6.147607021,7.82603829,1.678431269,2447.295407,638.7396222,3700.311614,6147.607021,7826.03829,1678.431269,y,1,NA
4,Jungle,13,Unpred,early,wrong,Long,docmcstuffins early t,2.891877772,0.630524301,3.72789914,6.619776912,7.149844898,0.530067986,2891.877772,630.5243014,3727.89914,6619.776912,7149.844898,530.0679857,n,1,NA
4,Jungle,14,Unpred,early,wrong,Long,tinkywinky early p,2.902547656,0.829532216,3.676546248,6.579093903,8.516447553,1.93735365,2902.547656,829.5322156,3676.546248,6579.093903,8516.447553,1937.35365,n,1,NA
4,Jungle,15,Unpred,late,wrong,Short,woody late p,2.416450468,0.581170626,3.71051246,6.126962928,8.051201606,1.924238677,2416.450468,581.1706257,3710.51246,6126.962928,8051.201606,1924.238677,n,1,NA
