Subject,Level,TrialNo,Pred,Early.Late,Right.Wrong,Length,SoundFile,QuLength,CharacterLength,QuOnset,QuOffset,Response Onset,RT.s,QuLength.ms,CharacterLength.ms,QuOnset.ms,QuOffset.ms,ResponseOnset.ms,RT.ms,Response,Accuracy,Comments
42,Beach,7,Unpred,early,wrong,Long,mickeymouse_early_p,2.896867196,0.737809103,3.727299371,6.624166567,7.486534829,0.862368262,2896.867196,737.8091034,3727.299371,6624.166567,7486.534829,862.3682619,n,1,
42,Beach,8,Unpred,late,wrong,Long,scoobydoo_late_p,2.886616645,0.820002471,3.745946522,6.632563167,7.486055481,0.853492314,2886.616645,820.0024706,3745.946522,6632.563167,7486.055481,853.4923137,n,1,
42,Beach,9,Unpred,early,wrong,Long,curiousgeorge_early_t,3.359510559,0.709678714,3.851032122,7.210542681,7.778736956,0.568194275,3359.510559,709.6787139,3851.032122,7210.542681,7778.736956,568.1942747,n,1,
42,Beach,10,Unpred,early,right,Long,scoobydoo_early_t,2.759690809,0.708408199,3.656106182,6.415796992,9.073042029,2.657245038,2759.690809,708.4081986,3656.106182,6415.796992,9073.042029,2657.245038,y,1,
42,Beach,11,Unpred,late,right,Short,boots_late_p,2.476081426,0.602345326,3.869025686,6.345107112,7.5296619,1.184554788,2476.081426,602.3453259,3869.025686,6345.107112,7529.6619,1184.554788,y?,0,
42,Beach,12,Unpred,late,wrong,Short,chase_late_t,2.493944149,0.723666748,3.758693968,6.252638117,6.716081127,0.46344301,2493.944149,723.6667477,3758.693968,6252.638117,6716.081127,463.44301,n,1,
42,Beach,13,Unpred,late,right,Long,curiousgeorge_late_p,3.273859123,1.233369085,3.703351623,6.977210746,7.197377335,0.220166589,3273.859123,1233.369085,3703.351623,6977.210746,7197.377335,220.1665893,n,0,
42,Beach,14,Unpred,early,wrong,Short,boots_early_t,2.359140056,0.768914113,4.429748942,6.788888998,8.518779322,1.729890324,2359.140056,768.9141129,4429.748942,6788.888998,8518.779322,1729.890324,n,1,
42,Beach,15,Unpred,late,right,Short,po_late_p,2.413269145,0.387462524,4.684333318,7.097602463,7.618560517,0.520958054,2413.269145,387.4625238,4684.333318,7097.602463,7618.560517,520.958054,y,1,
42,Beach,16,Unpred,early,right,Short,jake_early_t,2.516715309,0.736252957,3.761859146,6.278574455,7.585045744,1.306471289,2516.715309,736.2529575,3761.859146,6278.574455,7585.045744,1306.471289,y,1,
