Subj,Group,Condition,Pred,Match,Start Time,Onset of 1st syllable in character name ,NameLength,Time to respond ,Start time - time to respond,Onset of 1st syllable - time to respond,RT,Response?
6,Adults,1,Pred,Same,1478.4,5427.4,1153,7135.4,5657,1708,555,
6,Adults,1,Pred,Same,1480.5,5509,959,6960.2,5479.7,1451.2,492.2,
6,Adults,1,Pred,Same,1701.5,5416.7,1329,7237.7,5536.2,1821,492,
6,Adults,1,Pred,Same,1622.6,5291.3,810,6575.9,4953.3,1284.6,474.6,
6,Adults,1,Pred,Same,1667.9,5274.1,824,6550.8,4882.9,1276.7,452.7,
6,Adults,1,Pred,Same,1427,5435.2,707,6592.3,5165.3,1157.1,450.1,
6,Adults,1,Pred,Same,1675.6,5279.8,647,6366.1,4690.5,1086.3,439.3,
6,Adults,1,Pred,Same,1665.9,5259.6,927,6595.2,4929.3,1335.6,408.6,
6,Adults,1,Pred,Same,1438.3,5397.3,1768,7488.7,6050.4,2091.4,323.4,
6,Adults,1,Pred,Same,1692.8,5393.9,948,6588.9,4896.1,1195,247,
7,Adults,1,Pred,Same,1480.5,5226.8,399,7237.7,5757.2,2010.9,1611.9,
7,Adults,1,Pred,Same,1449.9,5771.5,742,7595.1,6145.2,1823.6,1081.6,
7,Adults,1,Pred,Same,1674.3,5453.3,681,6941.5,5267.2,1488.2,807.2,
7,Adults,1,Pred,Same,1496.9,5335.9,863,6954.6,5457.7,1618.7,755.7,
7,Adults,1,Pred,Same,1438,5266.3,715,6599.6,5161.6,1333.3,618.3,
7,Adults,1,Pred,Same,1644,5375.4,1329,7202,5558,1826.6,497.6,
7,Adults,1,Pred,Same,1497.5,5399.1,447,6314.2,4816.7,915.1,468.1,
7,Adults,1,Pred,Same,1653.3,5299.9,555,6309,4655.7,1009.1,454.1,
7,Adults,1,Pred,Same,1494.6,5314.8,891,6637.9,5143.3,1323.1,432.1,
7,Adults,1,Pred,Same,1686.7,5218,539,6149.7,4463,931.7,392.7,
7,Adults,1,Pred,Same,1481.4,5445,1768,7598.5,6117.1,2153.5,385.5,
7,Adults,1,Pred,Same,1490,5427.1,1153,6929.3,5439.3,1502.2,349.2,
7,Adults,1,Pred,Same,1502.9,5425.8,788,6535.6,5032.7,1109.8,321.8,
7,Adults,1,Pred,Same,1497.3,5508.7,1269,7075.1,5577.8,1566.4,297.4,
7,Adults,1,Pred,Same,1682.7,5250.5,647,6167,4484.3,916.5,269.5,
7,Adults,1,Pred,Same,1477.9,5452.2,775,6488.8,5010.9,1036.6,261.6,
7,Adults,1,Pred,Same,1499.7,6153.2,399,6737.4,5237.7,584.2,185.2,
7,Adults,1,Pred,Same,1657,5265.4,927,6351.7,4694.7,1086.3,159.3,
7,Adults,1,Pred,Same,1477.1,5437.7,707,6296,4818.9,858.3,151.3,
7,Adults,1,Pred,Same,1651.1,5338.4,810,6288.1,4637,949.7,139.7,
7,Adults,1,Pred,Same,1666.2,5275.7,824,6163,4496.8,887.3,63.3,
7,Adults,1,Pred,Same,1502.3,5550.8,959,6467.3,4965,916.5,-42.5,
7,Adults,1,Pred,Same,1672.5,5384.7,948,6289.8,4617.3,905.1,-42.9,
7,Adults,1,Pred,Same,1493.9,5443.8,1009,6334.6,4840.7,890.8,-118.2,
8,Adults,1,Pred,Same,1499.1,5340.1,863,9300,7800.9,3959.9,,
8,Adults,1,Pred,Same,1645.7,5315.9,555,6797.7,5152,1481.8,926.8,
8,Adults,1,Pred,Same,1501.9,5248.3,399,6312.6,4810.7,1064.3,665.3,
8,Adults,1,Pred,Same,1503.4,5423.9,788,6799.7,5296.3,1375.8,587.8,
8,Adults,1,Pred,Same,1486.2,5782.7,742,6952.4,5466.2,1169.7,427.7,
8,Adults,1,Pred,Same,1675.1,5277,824,6490.6,4815.5,1213.6,389.6,
8,Adults,1,Pred,Same,1524.8,5347,891,6604.2,5079.4,1257.2,366.2,
8,Adults,1,Pred,Same,1472.8,5352.7,447,6143.5,4670.7,790.8,343.8,
8,Adults,1,Pred,Same,1670,5383.9,948,6661.9,4991.9,1278,330,
8,Adults,1,Pred,Same,1480.8,5461.7,775,6545,5064.2,1083.3,308.3,
8,Adults,1,Pred,Same,1647.8,5204.5,539,6042.3,4394.5,837.8,298.8,
8,Adults,1,Pred,Same,1651.6,5257.2,647,6200.1,4548.5,942.9,295.9,
8,Adults,1,Pred,Same,1664.9,5272.4,927,6486.2,4821.3,1213.8,286.8,
8,Adults,1,Pred,Same,1645.4,5331,810,6399,4753.6,1068,258,
8,Adults,1,Pred,Same,1668.5,5412.4,1329,6966.7,5298.2,1554.3,225.3,
8,Adults,1,Pred,Same,1504.1,5565.7,399,6165.1,4661,599.4,200.4,
8,Adults,1,Pred,Same,1471.8,5299.2,715,6195.8,4724,896.6,181.6,
8,Adults,1,Pred,Same,1436.6,5386.6,1153,6709.5,5272.9,1322.9,169.9,
8,Adults,1,Pred,Same,1607,5410.6,681,6255.1,4648.1,844.5,163.5,
8,Adults,1,Pred,Same,1459,5451.7,959,6572.3,5113.3,1120.6,161.6,
8,Adults,1,Pred,Same,1479.2,5438.7,707,6291.9,4812.7,853.2,146.2,
8,Adults,1,Pred,Same,1492.8,5439.8,1009,6318.2,4825.4,878.4,-130.6,
8,Adults,1,Pred,Same,1494.7,5452,1768,7038.9,5544.2,1586.9,-181.1,
8,Adults,1,Pred,Same,1503.5,5518.1,1269,6309.5,4806,791.4,-477.6,
9,Adults,1,Pred,Same,1491.944806,5456.423461,707,6763.981107,5272.0363,1307.557645,600.5576453,
9,Adults,1,Pred,Same,1664.942621,5282.003736,647,6515.653754,4850.711133,1233.650018,586.6500182,
9,Adults,1,Pred,Same,1647.727166,5454.329902,681,6660.252194,5012.525027,1205.922291,524.9222915,
9,Adults,1,Pred,Same,1469.485319,5353.618868,447,6301.844737,4832.359418,948.225869,501.225869,
9,Adults,1,Pred,Same,1640.672422,5254.583004,810,6537.964821,4897.292399,1283.381817,473.381817,
9,Adults,1,Pred,Same,1491.289811,5457.307858,775,6702.660002,5211.37019,1245.352144,470.3521441,
9,Adults,1,Pred,Same,1664.184775,5210.770061,539,6188.911475,4524.7267,978.1414143,439.1414143,
9,Adults,1,Pred,Same,1500.290742,5516.672201,1269,7219.690789,5719.400047,1703.018588,434.018588,
9,Adults,1,Pred,Same,1433.005815,5716.581016,742,6869.315803,5436.309988,1152.734786,410.7347863,
9,Adults,1,Pred,Same,1507.522692,5609.303534,399,6408.727095,4901.204403,799.4235606,400.4235606,
9,Adults,1,Pred,Same,1493.926731,5311.139194,891,6599.620556,5105.693825,1288.481362,397.4813621,
9,Adults,1,Pred,Same,1649.496162,5376.874665,948,6721.712776,5072.216614,1344.838111,396.8381115,
9,Adults,1,Pred,Same,1494.105187,5442.487628,1009,6813.697782,5319.592595,1371.210153,362.2101534,
9,Adults,1,Pred,Same,1477.08151,5224.898931,399,5985.986121,4508.904611,761.0871899,362.0871899,
9,Adults,1,Pred,Same,1657.347457,5274.163169,824,6458.331783,4800.984326,1184.168614,360.1686145,
9,Adults,1,Pred,Same,1604.465352,5313.013595,555,6172.009252,4567.5439,858.9956566,303.9956566,
9,Adults,1,Pred,Same,1626.955138,5237.95429,927,6458.127048,4831.17191,1220.172758,293.1727583,
9,Adults,1,Pred,Same,1470.981775,5395.664396,788,6459.244822,4988.263047,1063.580426,275.5804256,
9,Adults,1,Pred,Same,1478.86725,5437.183867,1153,6835.337245,5356.469995,1398.153378,245.1533783,
9,Adults,1,Pred,Same,1481.423591,5309.625053,863,6415.602918,4934.179327,1105.977865,242.9778652,
