Participant,Condition,Pred,Match,Length Type,Start Time,Onset of 1st syllable in character name ,Time to say character name ,Time to respond,Start time - time to respond,Onset of 1st syllable - time to respond,Onset of 1st syllable - time to say character name - response time,Start Time ms,Onset of 1st syllable in character name ms,Response Time,Time to Say Character Name,Start time - time to respond ms,Onset of 1st syllable - time to respond ms,RTms,Response?,Disfluent?,Incorrect?
1,4,Unpred,Mismatch,Short,1.4799,5.2686,0.553,6.5979,5.118,1.3293,0.7763,1479.9,5268.6,6597.9,553,5118,1329.3,776.3,No,No,
1,4,Unpred,Mismatch,Short,1.6624,5.262,0.551,6.148,4.4856,0.886,0.335,1662.4,5262,6148,551,4485.6,886,335,No,No,
1,4,Unpred,Mismatch,Short,1.4937,5.4624,0.707,6.2829,4.7892,0.8205,0.1135,1493.7,5462.4,6282.9,707,4789.2,820.5,113.5,No,No,
1,4,Unpred,Mismatch,Short,1.49,5.3698,0.447,6.2852,4.7952,0.9154,0.4684,1490,5369.8,6285.2,447,4795.2,915.4,468.4,No,No,
1,4,Unpred,Mismatch,Short,1.4794,5.3641,0.558,6.1765,4.6971,0.8124,0.2544,1479.4,5364.1,6176.5,558,4697.1,812.4,254.4,No,No,
1,4,Unpred,Mismatch,Short,1.4786,5.1092,0.572,5.753,4.2744,0.6438,0.0718,1478.6,5109.2,5753,572,4274.4,643.8,71.8,No,No,
1,4,Unpred,Mismatch,Short,1.5178,5.2646,0.647,6.0809,4.5631,0.8163,0.1693,1517.8,5264.6,6080.9,647,4563.1,816.3,169.3,No,No,
1,4,Unpred,Mismatch,Short,1.4685,5.6208,0.469,6.4111,4.9426,0.7903,0.3213,1468.5,5620.8,6411.1,469,4942.6,790.3,321.3,No,No,
1,4,Unpred,Mismatch,Short,1.4652,5.3114,0.715,5.8089,4.3437,0.4975,-0.2175,1465.2,5311.4,5808.9,715,4343.7,497.5,-217.5,No,No,
1,4,Unpred,Mismatch,Short,1.5017,5.2448,0.399,6.1999,4.6982,0.9551,0.5561,1501.7,5244.8,6199.9,399,4698.2,955.1,556.1,No,No,
1,4,Unpred,Mismatch,Short,1.4874,5.545,0.739,6.3525,4.8651,0.8075,0.0685,1487.4,5545,6352.5,739,4865.1,807.5,68.5,No,No,
1,4,Unpred,Mismatch,Short,1.6863,5.5815,0.59,6.1077,4.4214,0.5262,-0.0638,1686.3,5581.5,6107.7,590,4421.4,526.2,-63.8,No,No,
1,4,Unpred,Mismatch,Short,1.506,5.2126,0.539,5.9748,4.4688,0.7622,0.2232,1506,5212.6,5974.8,539,4468.8,762.2,223.2,No,No,
2,1,Pred,Match,Short,1.4916,5.5548,0.399,6.7357,5.2441,1.1809,0.7819,1491.6,5554.8,6735.7,399,5244.1,1180.9,781.9,y,,
2,1,Pred,Match,Long,1.6667,5.3704,0.948,6.5298,4.8631,1.1594,0.2114,1666.7,5370.4,6529.8,948,4863.1,1159.4,211.4,y,,
2,1,Pred,Match,Long,1.6622,5.258,0.927,6.5849,4.9227,1.3269,0.3999,1662.2,5258,6584.9,927,4922.7,1326.9,399.9,y,,
2,1,Pred,Match,Long,1.6607,5.2735,0.824,7.8811,6.2204,2.6076,1.7836,1660.7,5273.5,7881.1,824,6220.4,2607.6,1783.6,y,,
2,1,Pred,Match,Short,1.6611,5.3202,0.555,6.4542,4.7931,1.134,0.579,1661.1,5320.2,6454.2,555,4793.1,1134,579,y,,
2,1,Pred,Match,Short,1.4896,5.7567,0.742,7.0764,5.5868,1.3197,0.5777,1489.6,5756.7,7076.4,742,5586.8,1319.7,577.7,y,,
2,1,Pred,Match,Long,1.6663,5.2609,0.81,6.4522,4.7859,1.1913,0.3813,1666.3,5260.9,6452.2,810,4785.9,1191.3,381.3,y,,
2,1,Pred,Match,Long,1.4949,5.3139,0.891,6.5966,5.1017,1.2827,0.3917,1494.9,5313.9,6596.6,891,5101.7,1282.7,391.7,y,,
2,1,Pred,Match,Long,1.4969,5.5129,1.269,7.2773,5.7804,1.7644,0.4954,1496.9,5512.9,7277.3,1269,5780.4,1764.4,495.4,y,,
2,1,Pred,Match,Short,1.6432,5.4341,0.681,7.3107,5.6675,1.8766,1.1956,1643.2,5434.1,7310.7,681,5667.5,1876.6,1195.6,y,,
2,1,Pred,Match,Short,1.4495,5.3982,1.009,6.9479,5.4984,1.5497,0.5407,1449.5,5398.2,6947.9,1009,5498.4,1549.7,540.7,y,,
2,1,Pred,Match,Short,1.4776,5.4432,0.775,7.4054,5.9278,1.9622,1.1872,1477.6,5443.2,7405.4,775,5927.8,1962.2,1187.2,y,,
