"Subject" "Age" "SubjNo" "Age..months." "Gender" "CELF.Score" "Trials.Completed" "u" "u_s" "u_t" "mean" "beta_t0" "beta_t1" "beta_t2" "beta_t3" "beta_t4" "beta_t5" "beta_t6" "beta_t7" "beta_t8" "beta_t9" "beta_t10" "beta_t11" "beta0" "beta1" "beta2" "beta3" "beta4" "beta5" "beta6" "beta7" "beta8" "beta9" "beta10" "beta11" "full_t" "inv_full_t" "full_mu"
"11" "Adult19" "Adult" 19 NA NA NA 96 -0.258561005392725 0.0685373743516315 -0.437415141825831 -0.700494122564677 -1.15370794125713 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.709218846027545 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -1.59112308308296 4.90925933953671 -0.967779851420271
"12" "Adult2" "Adult" 2 NA NA NA 96 0.29087934412945 -0.438237001366005 -1.00277939688264 -0.246444277401965 -1.15370794125713 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.709218846027545 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -2.15648733813977 8.64073231703112 -0.418339501898095
"13" "Adult20" "Adult" 20 NA NA NA 96 0.188038884153206 -0.188808874011043 0.433295445560311 0.0681838176977324 -1.15370794125713 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 -0.709218846027545 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 -0.720412495696818 2.05528083031039 -0.52117996187434
"14" "Adult21" "Adult" 21 NA NA NA 96 0.347142995543069 -0.141504133027137 -0.182016284236222 -0.0326859270091112 -1.15370794125713 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 -0.709218846027545 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 -1.33572422549335 3.80274899715273 -0.362075850484476
"15" "Adult22" "Adult" 22 NA NA NA 96 -0.195833226413517 0.0147647991872277 0.34461386330155 -0.376542254051797 -1.15370794125713 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 -0.709218846027545 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 -0.809094077955578 2.24587247942217 -0.905052072441062
"16" "Adult23" "Adult" 23 NA NA NA 96 -0.0822085882302405 0.416729342652456 0.0795311868160436 -0.38684105612479 -1.15370794125713 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 -0.709218846027545 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 -1.07417675444108 2.92758178949509 -0.791427434257786
"17" "Adult24" "Adult" 24 NA NA NA 96 0.029976163491756 0.113744595676722 -0.480427826359999 -0.418353171160946 -1.15370794125713 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 -0.709218846027545 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 -1.63413576761713 5.12502686835779 -0.679242682535789
"18" "Adult3" "Adult" 3 NA NA NA 96 -0.18493190430747 -0.153735247621719 -0.0818920584656259 -0.528186088128602 -1.15370794125713 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 -0.709218846027545 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 -1.23559999972275 3.44044216589563 -0.894150750335015
"19" "Adult4" "Adult" 4 NA NA NA 96 0.157924242441836 -0.420605159931328 -0.49281247671687 -0.295384162984492 -1.15370794125713 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 -0.709218846027545 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 -1.646520417974 5.1888931989653 -0.55129460358571
"20" "Adult5" "Adult" 5 NA NA NA 96 0.239167066676082 -0.335286532991952 -0.13887494580661 -0.128062743426236 -1.15370794125713 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 -0.709218846027545 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 -1.29258288706374 3.64218176130724 -0.470051779351464
"21" "Adult6" "Adult" 6 NA NA NA 96 0.977104533743615 0.402296086921561 0.554457094541682 0.953493870983386 -1.15370794125713 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.709218846027545 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.599250846715447 1.82075426529314 0.26788568771607
"22" "Adult7" "Adult" 7 NA NA NA 96 -0.0316419405154994 -0.146131499900357 -0.780136225460795 -0.536470501765303 -1.15370794125713 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.709218846027545 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -1.93384416671792 6.9160456381214 -0.740860786543045
"23" "Adult8" "Adult" 8 NA NA NA 96 -0.147491203950181 0.274574407058417 -0.0539735189911734 -0.484223498045802 -1.15370794125713 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -0.709218846027545 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 0.0970259941624472 -1.2076814602483 3.34571847165395 -0.856710049977726
"24" "Adult9" "Adult" 9 NA NA NA 96 0.0448520668733011 -0.684100692679685 -0.206100134424052 -0.339448768121105 -1.15370794125713 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 -0.709218846027545 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 0.78923699030014 -1.35980807568118 3.89544559930322 -0.664366779154244
"25" "Five1" "Five" 1 67 "f" 30 72 -0.030416616821174 -0.0814495745846475 -0.0789551387839788 -0.0361511857714218 -1.15370794125713 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 -0.709218846027545 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 0.854367850251204 -1.33099242708872 3.78479766006296 -0.837964809896334
"26" "Five10" "Five" 10 65 "m" 32 48 -0.13724060438327 0.186176288066616 -0.515773022746532 -0.445864144360066 -1.15370794125713 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 -0.709218846027545 0.854367850251204 0.78923699030014 0.0970259941624472 -0.0983293470476149 -0.10309852465654 -0.174057196041958 0.0975211735450277 0.0396390365563983 0.0924903301710163 0.126648525463041 0.223834818868423 -1.57245496984121 4.81846286652706 -0.749433456248368
